Title,Artist,"Artist (Last, First)",Series,Volume,Online Videos,Labels,Catalog Number,Country,Release Year,Original Release Year,Tracks,Versions,Genres,Styles,Composers,Orchestras,Conductors,Performers,Writers,Production Companies,Producers,Description,Edition,Media,Format,Content Type,Length,Vinyl Size,Vinyl Speed,List Price,Language,Packaging,Number Of Volumes,UPC-EAN13,Favorites,Rating,Physical Location,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Not Owned Reason,Quantity,Cover Condition,Condition,Recommended By,Date Added,User Supplied ID,User Supplied Descriptor,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,discogs Release ID,Category,Wish List,Previously Owned,Uploaded Image URL,Activities
Deadringer,RJD2,RJD2,,,"[{""youtubeID"":""N-5r81B2CkI"",""title"":""2 More Dead""},{""youtubeID"":""hY08FkhpPjk"",""title"":""Ghostwriter""},{""youtubeID"":""jkli9_KtITk"",""title"":""June""},{""youtubeID"":""0eS_hbeYpcI"",""title"":""RJD2 - Chicken Bone Circuit""},{""youtubeID"":""0eS_hbeYpcI"",""title"":""RJD2 - Chicken Bone Circuit""},{""youtubeID"":""joOeYN5F1AA"",""title"":""RJD2 - Deadringer (2002) (Full Album)""},{""youtubeID"":""joOeYN5F1AA"",""title"":""RJD2 - Deadringer (2002) (Full Album)""},{""youtubeID"":""nXzsdQb-Oaw"",""title"":""RJD2 - Deadringer (Full Album)""},{""youtubeID"":""1jVaKBB0jHU"",""title"":""Smoke & Mirrors""},{""youtubeID"":""McQNT2bfSbM"",""title"":""The Horror""}]",,,,2002,,"[{""duration"":0,""title"":""A1. The Horror""},{""duration"":0,""title"":""A2. Salud""},{""duration"":0,""title"":""A3. Smoke & Mirrors""},{""duration"":0,""title"":""A4. Good Times Roll Pt.2""},{""duration"":0,""title"":""B1. Final Frontier""},{""duration"":0,""title"":""B2. Ghostwriter""},{""duration"":0,""title"":""B3. Cut Out To FL""},{""duration"":0,""title"":""B4. Shot In The Dark""},{""duration"":0,""title"":""C1. F.H.H.""},{""duration"":0,""title"":""C2. Chicken-Bone Circuit""},{""duration"":0,""title"":""C3. The Proxy""},{""duration"":0,""title"":""C4. 2 More Dead""},{""duration"":0,""title"":""D1. Take The Picture Off""},{""duration"":0,""title"":""D2. Silver Fox""},{""duration"":0,""title"":""D3. June""},{""duration"":0,""title"":""D4. Work""}]",,"Hip Hop,Electronic",,,,,Performer - RJD2,,,,,,,,Album,,,,,,,,0016581000414,0,5.000000,,,,,,0,,,,,,2025/09/20 08:35:18.608062028,,,,,,,,2054363,,0,0,https://i.discogs.com/4mjrxOze1wBaEECNf3UdnlSwvJ3QCc2rbgba0iGhgWY/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIwNTQz/NjMtMTQwMjkyNzc4/MS0xMjMxLmpwZWc.jpeg,
Defender,Rory Gallagher,"Gallagher, Rory",,,"[{""youtubeID"":""xdjZBmzURKM"",""title"":""Continental Op""},{""youtubeID"":""-mcbfRRSb_w"",""title"":""Doing Time""},{""youtubeID"":""wc1oymyVLtI"",""title"":""Don't Start Me To Talkin'""},{""youtubeID"":""HtySn4f9Jhs"",""title"":""Failsafe Day""},{""youtubeID"":""82uDtbTzKjY"",""title"":""I Ain't No Saint""},{""youtubeID"":""0vjYvub-4wQ"",""title"":""Kickback City""},{""youtubeID"":""EP8HOpi-RBY"",""title"":""Loanshark Blues""},{""youtubeID"":""uttNLyaGRqA"",""title"":""No Peace For The Wicked""},{""youtubeID"":""EUfM-SMm2ws"",""title"":""Road To Hell""},{""youtubeID"":""AIKjbIRenV0"",""title"":""Seems To Me""},{""youtubeID"":""05Dw-Qo1XHE"",""title"":""Seven Days""},{""youtubeID"":""ZYglr-Zj7II"",""title"":""Smear Campaign""}]",,,,1987,,"[{""duration"":288,""title"":""A1. Kickback City""},{""duration"":267,""title"":""A2. Loanshark Blues""},{""duration"":272,""title"":""A3. Continental Op""},{""duration"":298,""title"":""A4. I Ain't No Saint""},{""duration"":263,""title"":""A5. Failsafe Day""},{""duration"":331,""title"":""B1. Road To Hell""},{""duration"":246,""title"":""B2. Doing Time""},{""duration"":287,""title"":""B3. Smear Campaign""},{""duration"":215,""title"":""B4. Don't Start Me Talkin'""},{""duration"":314,""title"":""B5. Seven Days""},{""duration"":0,""title"":""Bonus 7\"" Single""},{""duration"":291,""title"":""C. Seems To Me""},{""duration"":246,""title"":""D. No Peace For The Wicked""}]",,Rock,,,,,"Harmonica - Rory Gallagher,Vocals - Rory Gallagher,Keyboards - John Cooke,Drums - Brendan O'Neill,Harmonica - Mark Feltham,Electric Guitar - Rory Gallagher,Acoustic Guitar - Rory Gallagher,Piano - Bob Andrews,Piano - Lou Martin,Bass - Gerry McAvoy",,,,,,,,Album,,,,,,,,4006751451012,0,0.000000,,,,,,0,,,,,,2025/09/20 08:50:40.960739970,,,,,,,,2504958,,0,0,https://i.discogs.com/9n0i0J5C1Velal2WaYH4Rqv9GG9_394vedtULsQWY5U/rs:fit/g:sm/q:90/h:596/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI1MDQ5/NTgtMTYxNDAxMzk4/Ny0yNzgyLmpwZWc.jpeg,
Dirty Dog,Kai Winding,"Winding, Kai",,,"[{""youtubeID"":""ozwroV8w1aY"",""title"":""Dirty Dog (full album) - Kai Winding [1966 Jazz]""},{""youtubeID"":""ozwroV8w1aY"",""title"":""Dirty Dog (full album) - Kai Winding [1966 Jazz]""},{""youtubeID"":""xxulBKFeNlY"",""title"":""Kai Winding ‎– Dirty Dog ( Full Album )""}]",,,,1966,,"[{""duration"":0,""title"":""A1. Dirty Dog""},{""duration"":0,""title"":""A2. Sunrise, Sunset""},{""duration"":0,""title"":""A3. Cantaloupe Island""},{""duration"":0,""title"":""B1. Blindman, Blindman""},{""duration"":0,""title"":""B2. Something You Got""},{""duration"":0,""title"":""B3. The Sidewinder""}]",,Jazz,,,,Kai Winding,"Bass - Bob Cranshaw,Trombone - Carl Fontana,Trombone - Bill Watrous,Drums - Grady Tate,Guitar - Buzzy Bavarian,Trombone - Kai Winding,Piano - Herbie Hancock,Trombone - Urbie Green",,,,,,,,Album,,,,,,,,,0,0.000000,,,,,,0,,,,,,2025/09/20 09:16:56.940135955,,,,,,,,2644339,,0,0,https://i.discogs.com/O69j5vExmLvN5WIRtqW6eDSuAuH8PaFBKitojqbqrCw/rs:fit/g:sm/q:90/h:600/w:598/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI2NDQz/MzktMTY1MzA5NTU0/OC0yMzA0LmpwZWc.jpeg,
Endless Summer Vacation,Miley Cyrus,"Cyrus, Miley",,,"[{""youtubeID"":""yEzZsDkvKWw"",""title"":""Endless Summer Vacation (Box Set album by Miley Cyrus)""},{""youtubeID"":""FLo4r8deDeI"",""title"":""Miley Cyrus - Flowers (Demo - Official Lyric Video)""},{""youtubeID"":""G7KNmW9a75Y"",""title"":""Miley Cyrus - Flowers (Official Video)""},{""youtubeID"":""05ft6kLONNM"",""title"":""Miley Cyrus - Handstand (Official Lyric Video)""},{""youtubeID"":""_Deq3Cf_0lo"",""title"":""Miley Cyrus - Island (Official Lyric Video)""},{""youtubeID"":""4q-Y6wt1h3k"",""title"":""Miley Cyrus - Jaded (Official Video)""},{""youtubeID"":""mpl4iNPn7QY"",""title"":""Miley Cyrus - Muddy Feet (Official Lyric Video) ft. Sia""},{""youtubeID"":""v_4fljfr2r4"",""title"":""Miley Cyrus - River (Official Video)""},{""youtubeID"":""2yyS4aBJKn0"",""title"":""Miley Cyrus - Rose Colored Lenses (Official Lyric Video)""},{""youtubeID"":""9k3ia6ezQtQ"",""title"":""Miley Cyrus - Thousand Miles (Official Lyric Video) ft. Brandi Carlile""},{""youtubeID"":""Ji_Pa6lqkTQ"",""title"":""Miley Cyrus - Violet Chemistry (Official Lyric Video)""},{""youtubeID"":""uTAqi80ikZg"",""title"":""Miley Cyrus - Wildcard (Official Lyric Video)""},{""youtubeID"":""2vrV69cL03E"",""title"":""Miley Cyrus - Wonder Woman (Official Lyric Video)""},{""youtubeID"":""w7Xqzji5p_0"",""title"":""Miley Cyrus - You (Official Lyric Video)""}]",,,,2023,,"[{""title"":""(AM)"",""duration"":0},{""title"":""A1. Flowers"",""duration"":197},{""title"":""A2. Jaded"",""duration"":186},{""title"":""A3. Rose Colored Lenses"",""duration"":224},{""title"":""A4. Thousand Miles"",""duration"":231},{""title"":""A5. You"",""duration"":179},{""title"":""A6. Handstand"",""duration"":205},{""title"":""(PM)"",""duration"":0},{""title"":""B1. River"",""duration"":162},{""title"":""B2. Violet Chemistry"",""duration"":246},{""title"":""B3. Muddy Feet"",""duration"":137},{""title"":""B4. Wildcard"",""duration"":192},{""title"":""B5. Island"",""duration"":240},{""title"":""B6. Wonder Woman"",""duration"":183}]",,"Pop,Rock",,,,,,,,,,,,,Album,,,,,,,,0196587942816,0,0.000000,,,,,,0,,,,,,2025/09/20 23:09:28.169729948,,,,,,,,26368796,,0,0,https://i.discogs.com/ztKtIsPuWZmGiJdqXGDzyWDF9MOUTuOj7hr2xBk6TSo/rs:fit/g:sm/q:90/h:596/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI2MzY4/Nzk2LTE2ODMzMDY0/NTUtMzI0OC5qcGVn.jpeg,
Every Day I Have The Blues,Big Joe Turner,"Turner, Big Joe",,,"[{""youtubeID"":""aNpvOUmXglM"",""title"":""Big Joe Turner   Flip Flop & Fly""},{""youtubeID"":""aNpvOUmXglM"",""title"":""Big Joe Turner   Flip Flop & Fly""},{""youtubeID"":""Xea4fr9X7n0"",""title"":""Big Joe Turner   T V Mama""},{""youtubeID"":""Xea4fr9X7n0"",""title"":""Big Joe Turner   T V Mama""},{""youtubeID"":""OvAx7K24aAk"",""title"":""Big Joe Turner : Everyday I Have The Blues (Pablo, 1975)""},{""youtubeID"":""OvAx7K24aAk"",""title"":""Big Joe Turner : Everyday I Have The Blues (Pablo, 1975)""},{""youtubeID"":""JEIfeofb-JY"",""title"":""Everyday I Have The Blues""},{""youtubeID"":""JEIfeofb-JY"",""title"":""Everyday I Have The Blues""}]",,,,,,"[{""title"":""A1. Everyday I Have The Blues"",""duration"":596},{""title"":""A2. Early One Morning"",""duration"":380},{""title"":""A3. I've Got A Pocket Full Of Pencils"",""duration"":0},{""title"":""A4. I Want My Baby To Write Me"",""duration"":667},{""title"":""B1. Flip Flop And Fly"",""duration"":382},{""title"":""B2. Honey Hush"",""duration"":359},{""title"":""B3. TV Mama"",""duration"":311},{""title"":""B4. Chicken And The Hawk"",""duration"":288},{""title"":""B5. Write Me A Letter"",""duration"":348}]",,"Blues,Funk / Soul",,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2025/09/20 09:20:37.696055054,,,,,,,,2977833,,0,0,https://i.discogs.com/Es81tsN7w9L4uvejj2EE8ao6rJXDzcj1PWRTpU1-iWk/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI5Nzc4/MzMtMTUzMTg1MzA0/NS05OTI5LnBuZw.jpeg,
Eye In The Sky,The Alan Parsons Project,"Project, The Alan Parsons",,,"[{""youtubeID"":""U0IFg4i62RI"",""title"":""Children of the Moon""},{""youtubeID"":""d_DV-E2YOqE"",""title"":""Gemini""},{""youtubeID"":""N47SWUcYhQU"",""title"":""Mammagamma""},{""youtubeID"":""FDlDKvidYbk"",""title"":""Old and Wise""},{""youtubeID"":""mBjChU0ewrA"",""title"":""Psychobabble""},{""youtubeID"":""99x3Bv7dfHo"",""title"":""Silence and I""},{""youtubeID"":""6o8BfsxI1uM"",""title"":""Step by Step""},{""youtubeID"":""56hqrlQxMMI"",""title"":""The Alan Parsons Project - Eye in the Sky (Official Audio)""},{""youtubeID"":""tyPwsBBJAy0"",""title"":""The Alan Parsons Project - Eye in the Sky [LP Full Album]""},{""youtubeID"":""VuZkdeU54o0"",""title"":""You're Gonna Get Your Fingers Burned""}]",,,,2016,,"[{""title"":""A1. Sirius - Instrumental"",""duration"":108},{""title"":""A2. Eye In The Sky"",""duration"":273},{""title"":""A3. Children Of The Moon"",""duration"":289},{""title"":""A4. Gemini"",""duration"":129},{""title"":""A5. Silence And I"",""duration"":437},{""title"":""B1. You're Gonna Get Your Fingers Burned"",""duration"":259},{""title"":""B2. Psychobabble"",""duration"":290},{""title"":""B3. Mammagamma - Instrumental"",""duration"":214},{""title"":""B4. Step By Step"",""duration"":232},{""title"":""B5. Old And Wise"",""duration"":292}]",,Rock,,,,Andrew Powell,"Lead Vocals - Lenny Zakatek,Bass - David Paton,Lead Vocals - Colin Blunstone,Vocals - Elmer Gantry,Electric Guitar - Ian Bairnson,Vocals - Chris Rainbow,Vocals - The English Chorale,Vocals - Colin Blunstone,Vocals - David Paton,Lead Vocals - Elmer Gantry,Lead Vocals - David Paton,Lead Vocals - Chris Rainbow,Saxophone - Mel Collins,Lead Vocals - Eric Woolfson,Vocals - Lenny Zakatek,Drums - Stuart Elliott,Percussion - Stuart Elliott,Keyboards - Eric Woolfson,Vocals - Eric Woolfson,Acoustic Guitar - Ian Bairnson,Keyboards - Alan Parsons",,,,,,,,Album,,,,,,,,0889853754311,0,0.000000,,,,,,0,,,,,,2025/09/20 08:41:46.682626962,,,,,,,,10036282,,0,0,https://i.discogs.com/ZBJUf16FLrWrbchpuzpiTL781aZ4eIbDPnav5EXgqR4/rs:fit/g:sm/q:90/h:490/w:500/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMDM2/MjgyLTE3NDM3NTY4/NTktMTg2NS5qcGVn.jpeg,
Fantastic Fats,Fats Domino,"Domino, Fats",,,"[{""youtubeID"":""ztqlTqmXHiU"",""title"":""Fats Domino  -  I Don't Want To Set The World On Fire""},{""youtubeID"":""ztqlTqmXHiU"",""title"":""Fats Domino  -  I Don't Want To Set The World On Fire""},{""youtubeID"":""H2dhwlx_2Ys"",""title"":""Fats Domino - I Don't Want To Set The World On Fire - January 13, 1964""},{""youtubeID"":""H2dhwlx_2Ys"",""title"":""Fats Domino - I Don't Want To Set The World On Fire - January 13, 1964""},{""youtubeID"":""YSElj-qm5Jc"",""title"":""FATS DOMINO - THERE GOES MY HEART AGAIN""},{""youtubeID"":""oqs5gkyH930"",""title"":""I'm Walkin'-Fats Domino-original song""},{""youtubeID"":""oqs5gkyH930"",""title"":""I'm Walkin'-Fats Domino-original song""}]",,,,1978,,"[{""title"":""A1. There Goes My Heart Again"",""duration"":0},{""title"":""A2. Red Sails In The Sunset"",""duration"":0},{""title"":""A3. Sally Was A Good Old Girl"",""duration"":0},{""title"":""A4. The Girl I’m Gonna Marry"",""duration"":0},{""title"":""A5. When I’m Walking (Let Me Walk)"",""duration"":0},{""title"":""A6. On A Slow Boat To China"",""duration"":0},{""title"":""A7. Reelin’ And Rockin’"",""duration"":0},{""title"":""A8. Goodnight Sweetheart"",""duration"":0},{""title"":""B1. Mary, Oh Mary"",""duration"":0},{""title"":""B2. For You"",""duration"":0},{""title"":""B3. Song For Rosemary"",""duration"":0},{""title"":""B4. Heartbreak Hill"",""duration"":0},{""title"":""B5. Let Me Call You Sweetheart"",""duration"":0},{""title"":""B6. Kansas City"",""duration"":0},{""title"":""B7. I Don’t Want To Set The World On Fire"",""duration"":0},{""title"":""B8. The Fat Man"",""duration"":0}]",,"Rock,Blues",,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2025/09/20 23:22:15.151602983,,,,,,,,1482714,,0,0,https://i.discogs.com/ihQsEccV6zFQsHeSP5XrDgfhodXPS0nSy5GVl508Ndk/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE0ODI3/MTQtMTI1NzE2ODU3/My5qcGVn.jpeg,
Fleetwood Mac Live,Fleetwood Mac,"Mac, Fleetwood",,,"[{""youtubeID"":""X8tmdrQ7Ri8"",""title"":""Fireflies (Live 1980, Santa Monica, CA)""},{""youtubeID"":""X8tmdrQ7Ri8"",""title"":""Fireflies (Live 1980, Santa Monica, CA)""},{""youtubeID"":""KeLY7sP345k"",""title"":""Go Your Own Way (Live 1980, Cleveland, OH)""},{""youtubeID"":""KeLY7sP345k"",""title"":""Go Your Own Way (Live 1980, Cleveland, OH)""},{""youtubeID"":""TTCXBRCyku8"",""title"":""Monday Morning (Live 1980, Tokyo, Japan)""},{""youtubeID"":""TTCXBRCyku8"",""title"":""Monday Morning (Live 1980, Tokyo, Japan)""},{""youtubeID"":""iF-BtqafLhw"",""title"":""Rhiannon (Live 1980, London, England)""},{""youtubeID"":""iF-BtqafLhw"",""title"":""Rhiannon (Live 1980, London, England)""}]",,,,1980,,"[{""title"":""A1. Monday Morning"",""duration"":235},{""title"":""A2. Say You Love Me"",""duration"":258},{""title"":""A3. Dreams"",""duration"":258},{""title"":""A4. Oh Well"",""duration"":224},{""title"":""A5. Over & Over"",""duration"":294},{""title"":""B1. Sara"",""duration"":443},{""title"":""B2. Not That Funny"",""duration"":544},{""title"":""B3. Never Going Back Again"",""duration"":253},{""title"":""B4. Landslide"",""duration"":295},{""title"":""C1. Fireflies"",""duration"":265},{""title"":""C2. Over My Head"",""duration"":217},{""title"":""C3. Rhiannon"",""duration"":463},{""title"":""C4. Don't Let Me Down Again"",""duration"":237},{""title"":""C5. One More Night"",""duration"":223},{""title"":""D1. Go Your Own Way"",""duration"":344},{""title"":""D2. Don't Stop"",""duration"":245},{""title"":""D3. I'm So Afraid"",""duration"":508},{""title"":""D4. The Farmer's Daughter"",""duration"":145}]",,"Rock,Pop",,,,,"Vocals - Stevie Nicks,Vocals - Lindsey Buckingham,Drums - Mick Fleetwood,Guitar - Lindsey Buckingham,Keyboards - Christine McVie,Percussion - Tony Todaro,Vocals - Christine McVie,Guitar - Ray Lindsey,Keyboards - Jeffery Sova,Bass - John McVie",,,,,,,,Album,,,,,,,,,0,0.000000,,,,,,0,,,,,,2025/09/20 23:15:10.684514045,,,,,,,,1513122,,0,0,https://i.discogs.com/AGKhzcZZskYt0RFnFKD-jIaZWU8JI4xGxoGCZ8t3Bu8/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE1MTMx/MjItMTYwMTA2Nzcz/Mi03MDMwLmpwZWc.jpeg,
Freedom,Champion Jack Dupree,"Dupree, Champion Jack",,,,,,,1980,,"[{""title"":""A1. Chick'n Shack"",""duration"":154},{""title"":""A2. Fast Livin'"",""duration"":194},{""title"":""A3. Stag-O-Lee Blues"",""duration"":173},{""title"":""A4. You Can Make It"",""duration"":192},{""title"":""A5. Thank You God For Freedom"",""duration"":332},{""title"":""B1. Work Song (She's Too Mean)"",""duration"":260},{""title"":""B2. Lonesome Road"",""duration"":213},{""title"":""B3. Corrinna"",""duration"":110},{""title"":""B4. Nice And Easy"",""duration"":291},{""title"":""B5. Bring Me Flowers"",""duration"":260}]",,"Blues,Jazz",,,,,"Vocals - Champion Jack Dupree,Trombone - Eddie Blashfield,Drums - Geoff Downs,Piano - Champion Jack Dupree,Vocals - Monty Sunshine,Bass - Micky Ashman,Banjo - Barry Dew,Trumpet - Alan Gresty,Clarinet - Monty Sunshine,Vocals - Barry Dew",,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2025/09/20 23:21:04.825865030,,,,,,,,3035202,,0,0,https://i.discogs.com/66GO266IPz64wu9br1nfO4M51b1cb8fW5mJ9zyGa55c/rs:fit/g:sm/q:90/h:584/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMwMzUy/MDItMTY2NzU3MDYz/Mi0yNzg1LmpwZWc.jpeg,
From A Basement On The Hill,Elliott Smith,"Smith, Elliott",,,"[{""youtubeID"":""y-ALdfkLYYk"",""title"":""Elliott Smith - Coast to Coast (from From A Basement On The Hill)""},{""youtubeID"":""206gAmQ-5ek"",""title"":""Elliott Smith – A Distorted Reality is Now A Necessity to be Free (From A Basement On The Hill)""},{""youtubeID"":""sLfKDBM4860"",""title"":""Elliott Smith – A Fond Farewell (from From A Basement On The Hill)""},{""youtubeID"":""XJQXCTLY8_s"",""title"":""Elliott Smith – A Passing Feeling (from From A Basement On The Hill)""},{""youtubeID"":""BS-XjDtL42Y"",""title"":""Elliott Smith – Don't Go Down (from From A Basement On The Hill)""},{""youtubeID"":""LmoPKlWDKRE"",""title"":""Elliott Smith – King's Crossing (from From A Basement On The Hill)""},{""youtubeID"":""w1Mi-WfZcZk"",""title"":""Elliott Smith – Let's Get Lost (from From A Basement On The Hill)""},{""youtubeID"":""znQFmp5uRUg"",""title"":""Elliott Smith – Little One (from From A Basement On The Hill)""},{""youtubeID"":""L-uDPv7iQEo"",""title"":""Elliott Smith – Memory Lane (from From A Basement On The Hill)""},{""youtubeID"":""GhhyrhlsDak"",""title"":""Elliott Smith – Ostrich & Chirping (from From A Basement On The Hill)""},{""youtubeID"":""yAf01cef70U"",""title"":""Elliott Smith – Pretty (Ugly Before) (from From A Basement On The Hill)""},{""youtubeID"":""BN7Fez5LQgI"",""title"":""Elliott Smith – Shooting Star (from From A Basement On The Hill)""},{""youtubeID"":""o1923C0Qs9g"",""title"":""Elliott Smith – Strung Out Again (from From A Basement On The Hill)""},{""youtubeID"":""8MVmz_roG54"",""title"":""Elliott Smith – The Last Hour (from From A Basement On The Hill)""},{""youtubeID"":""JF6hxl0_FGo"",""title"":""Elliott Smith – Twilight (from From A Basement On The Hill)""}]",,,,2017,,"[{""title"":""A1. Coast To Coast"",""duration"":0},{""title"":""A2. Let's Get Lost"",""duration"":0},{""title"":""A3. Pretty (Ugly Before)"",""duration"":0},{""title"":""B1. Don't Go Down"",""duration"":0},{""title"":""B2. Strung Out Again"",""duration"":0},{""title"":""B3. A Fond Farewell"",""duration"":0},{""title"":""B4. King's Crossing"",""duration"":0},{""title"":""C1. Ostrich & Chirping"",""duration"":0},{""title"":""C2. Twilight"",""duration"":0},{""title"":""C3. A Passing Feeling"",""duration"":0},{""title"":""C4. The Last Hour"",""duration"":0},{""title"":""D1. Shooting Star"",""duration"":0},{""title"":""D2. Memory Lane"",""duration"":0},{""title"":""D3. Little One"",""duration"":0},{""title"":""D4. A Distorted Reality Is Now A Necessity To Be Free"",""duration"":0}]",,Rock,,,,,,,,,,,,,Album,,,,,,,,0602547529633,0,0.000000,,,,,,0,,,,,,2025/09/20 23:17:37.061046004,,,,,,,,10328760,,0,0,https://i.discogs.com/9qiLnLTWjWZA3eD-NH7_iFTgaoOIy8oX76x7nYX6vLo/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMzI4/NzYwLTE1NDQ4Njc0/ODktODA3Ny5wbmc.jpeg,
Giant Steps,John Coltrane,"Coltrane, John",,,"[{""youtubeID"":""xy_fxxj1mMY"",""title"":""John Coltrane - Giant Steps (2020 Remaster) [Full Album]""}]",,,,2015,,"[{""title"":""A1. Giant Steps"",""duration"":283},{""title"":""A2. Cousin Mary"",""duration"":345},{""title"":""A3. Countdown"",""duration"":141},{""title"":""A4. Spiral"",""duration"":356},{""title"":""B1. Syeeda's Song Flute"",""duration"":420},{""title"":""B2. Naima"",""duration"":261},{""title"":""B3. Mr. P. C."",""duration"":417}]",,Jazz,,John Coltrane,,,"Drums - Jimmy Cobb,Bass - Paul Chambers (3),Tenor Saxophone - John Coltrane,Piano - Wynton Kelly,Drums - Art Taylor,Piano - Tommy Flanagan",,,,,,,,Album,,,,,,,,0889397285715,0,0.000000,,,,,,0,,,,,,2025/09/20 23:21:21.528028011,,,,,,,,7430913,,0,0,https://i.discogs.com/ux_NrRqW11hY7fNRud7bza5HGJih6dPMhXdW7HcmnV8/rs:fit/g:sm/q:90/h:597/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTc0MzA5/MTMtMTQ0MTM3OTA4/Ny01NjkyLmpwZWc.jpeg,
Got To Reap What You Sow,Jazz Gillum,"Gillum, Jazz",,,"[{""title"":""A Lie Is Dangerous"",""youtubeID"":""WFjPTX0D20A""},{""title"":""A Lie Is Dangerous"",""youtubeID"":""WFjPTX0D20A""},{""title"":""It Looks Bad For You , Jazz Gillum"",""youtubeID"":""_OeQn10CmZY""},{""title"":""It Looks Bad For You , Jazz Gillum"",""youtubeID"":""_OeQn10CmZY""},{""title"":""Jazz Gillum - You´ve got to Reap Just What You Sow"",""youtubeID"":""PdiIC7K-TiQ""},{""title"":""Jazz Gillum - You´ve got to Reap Just What You Sow"",""youtubeID"":""PdiIC7K-TiQ""},{""title"":""Jazz Gillum \""I'm gonna get it\"""",""youtubeID"":""ViCw56-uzg8""},{""title"":""Jazz Gillum \""I'm gonna get it\"""",""youtubeID"":""ViCw56-uzg8""},{""title"":""Key to the Highway"",""youtubeID"":""craV-27tw-o""},{""title"":""Key to the Highway"",""youtubeID"":""craV-27tw-o""},{""title"":""You Drink Too Much Whiskey , Jazz Gillum"",""youtubeID"":""LoLwNpJj-nc""},{""title"":""You Drink Too Much Whiskey , Jazz Gillum"",""youtubeID"":""LoLwNpJj-nc""},{""title"":""You Got To Run Me Down"",""youtubeID"":""JvwmkcZEIrQ""},{""title"":""You Got To Run Me Down"",""youtubeID"":""JvwmkcZEIrQ""}]",,,,1970,,"[{""title"":""A1. Jazz Gillum And His Jazz Boys - You're Laughing Now"",""duration"":0},{""title"":""A2. Jazz Gillum And His Jazz Boys - I'm Gonna Get It"",""duration"":0},{""title"":""A3. Jazz Gillum And His Jazz Boys - Let Her Go"",""duration"":0},{""title"":""A4. Jazz Gillum And His Jazz Boys - She Won't Treat Me Kind"",""duration"":0},{""title"":""A5. Jazz Gillum And His Jazz Boys - I'll Get Along Somehow"",""duration"":0},{""title"":""A6. Jazz Gillum - Got To Reap What You Sow"",""duration"":0},{""title"":""A7. Jazz Gillum - Keyhole Blues"",""duration"":0},{""title"":""A8. Jazz Gillum - Riley Spring Blues"",""duration"":0},{""title"":""B1. Jazz Gillum - I Got Somebody Else"",""duration"":0},{""title"":""B2. Jazz Gillum - It Looks Bad For You"",""duration"":0},{""title"":""B3. Jazz Gillum - Me And My Buddy"",""duration"":0},{""title"":""B4. Jazz Gillum - It's All Over Now"",""duration"":0},{""title"":""B5. Jazz Gillum - One Letter Home"",""duration"":0},{""title"":""B6. Jazz Gillum - You Drink Too Much Whiskey"",""duration"":0},{""title"":""B7. Jazz Gillum - I'm Gonna Leave You On The Outskirts Of Town"",""duration"":0},{""title"":""B8. Jazz Gillum - Woke Up Cold In Hand"",""duration"":0}]",,Blues,,,,,"Vocals - Jazz Gillum,Guitar - Big Bill Broonzy,Harmonica - Jazz Gillum,Piano - Horace Malcolm,Piano - Blind John Davis,Bass - Ransom Knowling,Bass - Alfred Elkins,Bass - Unknown Artist,Piano - Joshua Altheimer,Tenor Saxophone - John Cameron (8)",,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2025/09/20 08:47:53.429540038,,,,,,,,4791549,,0,0,https://i.discogs.com/3HcIZK98qaGeA0K05ppSo_Oxss_e4JJxJAkMVcFUuso/rs:fit/g:sm/q:90/h:600/w:596/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ3OTE1/NDktMTQ1MDQ4MjMx/MC03NTA5LmpwZWc.jpeg,
